sensor_id,09/01/2013,09/02/2013,09/03/2013,09/04/2013,09/05/2013,09/06/2013,09/07/2013,09/08/2013,09/09/2013,09/10/2013,09/11/2013,09/12/2013,09/13/2013,09/14/2013,09/15/2013,09/16/2013,09/17/2013,09/18/2013,09/19/2013,09/20/2013,09/21/2013,09/22/2013,09/23/2013,09/24/2013,09/25/2013,09/26/2013,09/27/2013,09/28/2013,09/29/2013,09/30/2013,
370,165.000000,155.333333,467.333333,493.333333,421.333333,438.666667,278.666667,183.333333,463.666667,441.000000,510.000000,453.333333,491.000000,288.666667,190.666667,470.000000,519.333333,251.000000,468.666667,496.666667,290.666667,nan,nan,462.333333,503.666667,482.333333,445.333333,285.666667,199.666667,475.666667,
371,1707.000000,1463.333333,4054.666667,4107.000000,4044.333333,3968.000000,2765.333333,1881.333333,3001.333333,4015.666667,4077.666667,4068.000000,4017.333333,2743.666667,1771.000000,3964.666667,3897.000000,3646.666667,3962.666667,3584.000000,2678.666667,1727.666667,3040.333333,4096.000000,4157.000000,4115.000000,4054.666667,2860.333333,1815.666667,3954.000000,
372,171.000000,107.333333,362.333333,365.666667,367.333333,383.666667,282.666667,170.666667,349.333333,384.333333,387.666667,390.666667,393.666667,310.333333,161.333333,357.666667,352.000000,378.000000,391.000000,409.000000,298.333333,158.000000,323.666667,391.000000,381.000000,395.000000,399.666667,310.666667,159.000000,381.666667,
373,53.666667,58.333333,218.666667,264.333333,252.000000,252.333333,123.000000,66.000000,258.000000,269.666667,281.666667,266.000000,272.666667,114.333333,69.000000,268.666667,269.666667,269.666667,271.000000,277.000000,116.333333,76.000000,256.666667,272.333333,271.000000,265.333333,256.333333,127.000000,75.333333,267.333333,
374,2225.333333,1844.666667,5393.666667,5392.333333,5513.666667,5388.666667,3693.666667,2475.333333,5369.000000,5541.333333,5544.000000,5548.000000,5425.666667,3723.333333,2289.333333,5352.666667,5374.333333,5538.666667,5480.333333,5395.000000,3737.333333,2413.666667,5321.333333,5560.000000,5630.666667,5621.333333,5506.333333,3860.666667,2323.666667,5285.666667,
375,111.000000,99.000000,245.333333,270.000000,252.333333,267.666667,216.666667,110.333333,291.666667,260.333333,296.666667,251.666667,256.000000,223.333333,117.666667,277.666667,273.666667,281.666667,285.000000,nan,nan,125.333333,276.666667,279.333333,279.000000,297.333333,289.000000,202.333333,113.000000,296.666667,
376,2286.666667,1943.666667,6432.666667,6429.333333,6483.000000,5991.333333,3573.000000,2382.666667,6488.000000,5770.333333,6739.333333,6475.666667,6444.333333,3632.333333,2442.333333,6435.000000,4255.000000,6627.000000,6485.333333,6290.000000,3700.333333,2449.000000,6482.666667,6494.333333,6392.000000,6431.333333,6301.333333,3593.000000,2433.666667,6433.000000,
377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
378,2543.000000,2099.000000,7204.000000,7169.666667,7152.333333,6661.000000,3916.000000,2540.000000,7160.000000,6673.666667,7528.000000,7210.000000,7129.000000,3934.333333,2748.666667,7116.333333,5329.333333,7442.333333,7355.333333,7312.000000,4180.333333,2901.333333,7329.333333,7311.333333,7340.000000,7419.333333,7110.000000,4251.666667,2782.666667,7203.666667,
379,9.666667,11.333333,20.666667,25.666667,24.000000,24.333333,19.666667,18.000000,23.000000,22.000000,22.666667,24.000000,32.666667,22.333333,11.666667,22.666667,21.000000,23.666667,32.000000,26.000000,13.000000,11.666667,21.000000,21.666667,24.666667,24.000000,31.000000,23.666667,15.666667,21.666667,
380,2704.666667,2346.333333,6782.333333,6828.666667,6926.666667,6715.000000,4485.666667,2878.000000,6706.666667,6876.666667,6920.333333,7001.000000,6791.000000,4475.666667,2800.666667,6769.666667,6818.000000,6923.333333,6819.000000,6622.666667,4490.666667,2994.333333,6714.333333,6955.333333,7022.666667,7025.000000,6841.000000,4629.666667,2870.333333,6748.333333,
